deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwikibooks */ Template:Purge,20230402104149,قالب:إفراغ الكاش
/* clientsitelink-remove:1||enwikibooks */ Template:Tag,20230402104026,قالب:وسم في النسق
/* clientsitelink-remove:1||enwikiquote */ Template:Pp-meta,20230707211659,قالب:Pp-meta
/* clientsitelink-remove:1||enwiki */ Template:BS-header,20230621000649,قالب:BS-header
/* clientsitelink-remove:1||enwikibooks */ Template:Collapse top,20230402110313,قالب:أظهر أول
/* clientsitelink-remove:1||enwiki */ Template:Guideline,20230204154232,قالب:إرشاد
/* clientsitelink-remove:1||enwiki */ Template:Xpd3,20230121014023,قالب:Xpd3
/* clientsitelink-remove:1||enwikibooks */ Template:Mbox,20230402103634,قالب:صندوق رسالة نطاق
/* clientsitelink-remove:1||enwiki */ Template:Railway line header,20230613012301,قالب:سكة-رأس
/* clientsitelink-remove:1||enwiki */ Template:Android smartphones,20230102151710,قالب:هواتف أندرويد الذكية
/* clientsitelink-remove:1||enwikibooks */ Template:Para,20230402104142,قالب:وسيط
/* clientsitelink-remove:1||enwikibooks */ Template:Plain link,20230402113230,قالب:وصلة بسيطة
/* clientsitelink-remove:1||enwikibooks */ Template:Tlf,20230402104000,قالب:Tlf
/* clientsitelink-remove:1||enwikibooks */ Template:Fix,20230402110206,قالب:نص علوي
/* clientsitelink-remove:1||enwikibooks */ Template:Further,20230402110119,قالب:معلومات أكثر
/* clientsitelink-remove:1||enwikibooks */ Template:Harvard citation no brackets,20230402110112,قالب:استشهاد بهارفارد دون أقواس
